temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
92.25,0.07,0.0581308,0.0152594,5.05528,6.28231,1.31397
149.75,0.03,0.0793075,0.0127314,3.91605,8.35779,1.22229
125.46,0.02,0.0720036,0.0124986,3.84659,10.697,1.16475
35.82,0.08,0.0560909,0.0215987,3.84659,7.1328,1.26949
39.14,0.07,0.0411063,0.000714528,3.11962,10.0135,1.17093
65.26,0.05,0.0636928,0.0175052,5.38071,6.01055,1.25
48.84,0.05,0.0419826,0.00102988,3.2285,9.65122,1.12034
37.69,0.08,0.0560909,0.0208639,3.6963,7.1328,1.32593
38.28,0.07,0.0439604,0.000714528,3.08023,10.0135,1.22785
44.46,0.07,0.0416102,0.0010017,3.2285,8.88765,1.26894
49.43,0.07,0.0574604,0.015552,4.4946,6.70627,1.26799
5.58,0.06,0.0571661,0.0213919,4.13581,9.62301,1.23903
155.63,0.01,0.0448765,0.000886587,5.65707,12.7127,1.12828
52.52,0.07,0.0652908,0.0195645,6.95454,4.99707,1.25566
7.23,0.07,0.0556218,0.0205302,3.6963,6.39103,1.1876
31,0.03,0.0576836,0.0217297,4.05763,8.34482,1.37071
5.08,0.05,0.0567082,0.0208302,4.85726,7.24625,1.15296
7.05,0.07,0.0581308,0.0217318,6.21261,6.39103,1.39037
29.58,0.06,0.0513244,0.0196348,3.16655,8.34482,1.36243
