temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
30.59,0.25,0.126525,0.0226132,4.61349,4.87335,2.40448
30.59,0.25,0.126859,0.0229532,4.61349,4.87335,2.26723
275.51,0.25,0.127167,0.0223795,4.99707,4.87335,2.2113
28.32,0.25,0.123539,0.0227336,4.61349,4.87335,2.24076
21.9,0.25,0.119711,0.0231508,4.61349,4.87335,2.18833
30.59,0.25,0.124584,0.02301,4.61349,4.87335,2.21982
20,0.25,0.115852,0.0231857,4.61349,4.87335,2.21863
30.59,0.25,0.125837,0.0225096,4.61349,4.87335,2.07663
18.98,0.13,0.125219,0.0228354,4.2825,6.41873,1.94232
13.75,0.22,0.114454,0.0228898,4.61349,4.87335,2.08856
24.72,0.1,0.115438,0.0227797,4.02227,6.70627,2.19066
30.59,0.1,0.120915,0.0228096,4.22999,6.70627,2.24651
30.59,0.1,0.12634,0.0223973,4.29325,6.70627,2.193
29.12,0.12,0.124774,0.0225821,3.4346,6.41873,2.32129
29.12,0.09,0.124921,0.0218918,3.4346,6.41873,2.22773
29.12,0.12,0.12634,0.0223973,3.46332,6.41873,2.2313
29.12,0.12,0.125652,0.0221384,3.4346,6.41873,2.16454
30.59,0.1,0.119517,0.0225333,4.29325,6.55054,2.25451
29.12,0.12,0.126086,0.0222885,3.2285,6.41873,2.28646
29.12,0.12,0.120915,0.0228096,3.46332,6.41873,2.28185
21.8,0.12,0.122662,0.0224643,3.16655,6.41873,2.28912
16.57,0.12,0.108308,0.0226894,4.93303,6.41873,2.36308
24.72,0.12,0.115438,0.0227797,3.4346,6.41873,2.28712
30.59,0.1,0.124774,0.0225821,4.02227,6.70627,2.33052
30.59,0.09,0.125652,0.0221384,4.02227,6.70627,2.14123
29.12,0.12,0.119517,0.0225333,3.46332,6.41873,2.30152
16.57,0.1,0.108308,0.0226894,4.29325,6.57302,2.26698
22.82,0.12,0.110228,0.0229853,3.46332,6.41873,2.31277
262.36,0.02,0.126982,0.0221791,4.99707,6.528,2.13519
21.8,0.21,0.122662,0.0224643,3.8782,6.41873,2.06385
22.82,0.1,0.110228,0.0229853,4.224,6.70627,2.19527
17.29,0.08,0.110704,0.0227539,4.29325,5.59194,2.33175
23.54,0.08,0.108784,0.0224011,4.224,5.59194,2.26131
17.29,0.05,0.110704,0.0227539,4.93303,11.8547,2.37742
22.52,0.05,0.115914,0.0217513,3.16655,12.0336,2.26443
29.12,0.05,0.121391,0.0225057,3.46332,11.7795,2.29838
17.29,0.04,0.110704,0.0227539,3.91605,7.90937,2.14316
15.69,0.04,0.123138,0.0214554,4.33915,6.21261,2.30865
27.76,0.04,0.121391,0.0225057,3.96631,6.19181,2.29032
25.44,0.05,0.110704,0.0220667,3.4346,12.0336,2.21525
27.76,0.04,0.123278,0.0215755,4.33915,6.21261,2.30679
27.76,0.04,0.125244,0.0212992,4.33915,6.21261,2.33293
2.58,0.13,0.0742044,0.0220646,5.05073,9.27978,2.24615
0.35,0.06,0.0727818,0.0211196,8.10049,16.1508,1.91708
31.49,0.2,0.0867613,0.0210165,3.8782,6.41873,2.06296
0.35,0.13,0.0727818,0.0211196,8.10049,16.1508,1.90215
27.76,0.15,0.0773235,0.0213319,4.22999,6.01055,2.23582
24.65,0.15,0.10019,0.0207206,3.59583,6.01055,2.27017
27.76,0.15,0.106041,0.0206906,4.29325,6.01055,2.19416
204.81,0.05,0.109169,0.0202103,5.05073,6.21261,2.0601
27.76,0.14,0.11153,0.0209495,4.29325,6.01055,2.17581
27.76,0.15,0.105387,0.020444,4.02227,6.01055,2.21073
27.76,0.15,0.106568,0.0205644,3.59583,6.01055,2.28414
27.76,0.15,0.0972759,0.0208407,3.91605,6.01055,2.33332
27.76,0.15,0.0920118,0.0211343,4.22999,6.01055,2.31191
27.76,0.15,0.0931728,0.0214447,4.29325,6.01055,2.26826
27.76,0.12,0.0991013,0.0217709,4.29325,6.01055,2.24874
27.76,0.15,0.0867613,0.0210165,3.8782,6.01055,2.31307
27.76,0.15,0.0754598,0.0216664,4.29325,6.01055,2.22773
26.26,0.1,0.0802601,0.0220191,4.29325,7.90937,2.38759
24.65,0.06,0.10019,0.0207206,4.29325,5.94153,2.06172
0.35,0.06,0.0727818,0.0211196,8.10049,16.1508,2.0668
0.35,0.08,0.0727818,0.0211196,8.10049,16.1508,1.8778
26.6,0.17,0.0754598,0.0216664,3.4346,5.84891,2.38546
26.6,0.17,0.0867613,0.0210165,3.16655,5.84891,2.51518
26.6,0.15,0.0931728,0.0214447,3.4346,5.84891,2.43725
26.6,0.17,0.0972759,0.0208407,3.11962,5.84891,2.52342
21.67,0.14,0.10019,0.0207206,2.99914,5.76,2.31121
21.67,0.14,0.0867613,0.0210165,3.16655,5.76,2.38904
40.82,0.14,0.0991013,0.0217709,3.46332,5.76,2.15622
23.03,0.08,0.0972759,0.0208407,3.96631,6.39103,2.37931
