temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
85.28,0.02,0.0451142,0.0143028,4.67156,13.3201,2.44035
85.28,0.02,0.0451142,0.0143028,4.99707,13.3201,2.51294
85.28,0.02,0.0451142,0.0143028,4.99707,13.3201,2.42776
23.11,0.1,0.045011,0.0229573,9.24794,13.3201,3.47207
23.11,0.1,0.045011,0.0229573,9.24794,13.3201,3.56841
1.64,0.05,0.0685655,0.0242583,7.90704,10.4812,2.83238
0.66,0.06,0.0593226,0.0242407,6.98296,13.5275,2.54999
0.66,0.11,0.154883,0.00838213,6.98296,13.5275,2.78492
1.64,0.03,0.0685655,0.0242583,5.76,10.4459,2.77438
0.28,0.06,0.0820643,0.0238841,8.48284,16.9835,2.48508
0.28,0.04,0.0820643,0.0238841,8.48284,16.9835,2.54164
0.59,0.06,0.0363716,0.023231,7.31334,13.8796,2.56769
5.05,0.04,0.0415423,0.00286195,4.29325,12.8798,2.78911
0.59,0.06,0.0363716,0.023231,7.31334,13.8796,2.65279
3.25,0.14,0.0500321,0.0210381,5.20041,8.08226,3.1301
0.59,0.06,0.0363716,0.023231,7.31334,13.8796,2.6579
0.59,0.06,0.0363716,0.023231,7.31334,13.8796,2.63153
0.28,0.1,0.0820643,0.0238841,8.48284,16.9835,2.56686
1.64,0.07,0.0685655,0.0242583,5.74678,10.4459,2.72115
0.66,0.11,0.0593226,0.0242407,6.98296,13.5275,2.54723
1.38,0.02,0.0545223,0.0239455,5.81097,10.9153,2.86028
0.28,0.13,0.0820643,0.0238841,8.48284,16.9835,2.53164
0.31,0.05,0.0670776,0.0231711,8.5865,16.5897,3.4226
1.38,0.05,0.154883,0.00838213,5.81097,10.9153,3.07513
2.36,0.03,0.0564451,0.0235453,5.16128,9.62301,2.77997
1.64,0.03,0.0685655,0.0242583,5.86151,10.4459,2.78043
0.31,0.03,0.0670776,0.0231711,8.5865,16.5897,3.36757
0.31,0.05,0.0670776,0.0231711,8.5865,16.5897,3.65372
2.36,0.04,0.0564451,0.0235453,5.16619,9.62301,2.84497
0.28,0.06,0.0820643,0.0238841,8.48284,16.9835,2.47041
1.38,0.05,0.0545223,0.0239455,6.39103,11.538,2.96258
2.36,0.03,0.0564451,0.0235453,5.16128,9.62301,2.76385
1.38,0.04,0.0545223,0.0239455,5.81097,10.9153,2.86938
0.31,0.03,0.0670776,0.0231711,8.5865,16.5897,3.48842
0.31,0.05,0.0670776,0.0231711,8.5865,16.5897,3.53934
0.59,0.03,0.0363716,0.023231,7.31334,13.8796,2.63151
0.81,0.11,0.0756442,0.0226843,7.41627,12.3965,2.83119
0.59,0.04,0.0363716,0.023231,7.31334,13.8796,2.50198
0.81,0.34,0.0756442,0.0226843,7.41627,12.3965,2.89075
5.65,0.18,0.0363716,0.023231,4.34552,6.9333,2.38601
6.65,0.14,0.0705596,0.0228586,4.00908,7.08061,2.3224
0.81,0.2,0.0756442,0.0226843,7.41627,12.3965,2.87366
4.94,0.07,0.0363716,0.023231,6.35161,9.8352,3.57972
11.8,0.11,0.156815,0.0108414,4.47817,5.16619,2.30701
0.89,0.08,0.0359672,0.0222621,7.08061,12.0336,2.92469
1.18,0.03,0.0415423,0.00286195,6.77293,12.8798,2.25978
1.18,0.03,0.0415423,0.00286195,6.83693,12.8798,2.43718
0.17,0.08,0.0506668,0.0223576,10.3038,18.9682,3.0227
1.28,0.15,0.0706144,0.0221594,6.56179,10.7978,4.45244
0.31,0.1,0.0670776,0.0231711,8.5865,16.5897,4.11144
0.66,0.07,0.0593226,0.0242407,6.98296,13.5275,2.68714
0.66,0.11,0.156815,0.0108414,6.98296,13.5275,2.37059
0.28,0.06,0.0820643,0.0238841,8.48284,16.9835,2.07813
1.18,0.07,0.0421569,0.0194891,9.12758,12.8798,2.16726
11.8,0.07,0.155721,0.00762927,4.79086,9.62301,2.06531
23.11,0.04,0.045011,0.0107722,9.24794,13.3201,3.49614
19.1,0.07,0.045011,0.0229573,9.24794,13.3201,3.73162
14.14,0.1,0.045011,0.0229573,9.24794,13.3201,3.84561
23.11,0.05,0.045011,0.0229573,9.24794,13.3201,3.69396
