temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
210.63,0.21,0.0414342,0.00447799,6.5167,8.3346,4.79995
210.63,0.17,0.0414342,0.00447799,6.5167,8.3346,4.72504
124.26,0.02,0.042556,0.00753138,4.224,13.3201,4.71058
2.45,0.01,0.0834639,0.022161,6.39103,10.0333,5.19218
5.07,0.01,0.0834639,0.022161,6.39103,9.55983,5.20594
17.18,0.01,0.0834639,0.022161,6.39103,9.55983,4.97338
194.34,0.09,0.0418085,0.00925278,7.6424,11.4171,5.36618
203.08,0.19,0.0418085,0.0170282,7.6424,11.4171,4.3943
1.51,0.02,0.0684773,0.0217608,7.08061,10.6763,5.27332
21.06,0.05,0.0583266,0.0231561,7.91636,7.72785,4.95293
2.29,0.04,0.0564451,0.0223001,5.20041,9.62301,6.04584
36.64,0.05,0.101634,0.0222287,4.42277,6.70627,4.21041
1.51,0.01,0.0684773,0.0217608,7.08061,10.6763,4.6893
34.04,0.01,0.109509,0.0218898,5.05528,11.7081,4.63207
0.11,0.02,0.0917442,0.0237099,11.9965,16.5897,4.77297
5.29,0.18,0.0908684,0.0233371,5.38071,9.18896,6.28115
1.09,0.08,0.0604842,0.0243712,6.913,11.538,7.33861
1.51,0.08,0.0669528,0.022171,7.08061,10.6763,4.86433
0.15,0.05,0.0999537,0.0233434,10.0795,20.4836,7.01387
7.31,0.22,0.0990654,0.0236936,4.59798,7.6424,6.89368
8.01,0.15,0.0999537,0.0235374,3.84,6.21261,6.32962
7.74,0.13,0.0999537,0.0233434,4.25876,10.2993,5.93956
5.37,0.18,0.0990654,0.0236936,4.34552,7.68,5.75393
1.51,0.03,0.0684773,0.0217608,7.08061,10.6763,5.33455
1.51,0.01,0.0607398,0.0239615,7.08061,10.6763,5.19193
1.51,0.03,0.0684773,0.0217608,7.08061,10.6763,5.30518
0.54,0.04,0.0834639,0.022161,7.33631,14.2103,4.87127
0.54,0.01,0.0834639,0.022161,7.33631,14.2103,4.70091
0.35,0.11,0.0935775,0.0233595,9.35101,17.2968,6.74438
0.35,0.06,0.0935775,0.0233595,9.35101,17.2968,6.66385
0.35,0.1,0.0935775,0.0233595,9.35101,17.2968,6.48141
0.35,0.09,0.0935775,0.0233595,9.35101,17.2968,6.33206
0.35,0.04,0.0935775,0.0233595,9.35101,17.2968,5.66901
0.38,0.11,0.100463,0.0240399,8.78832,18.097,7.15956
0.35,0.11,0.0935775,0.0233595,9.35101,17.2968,6.74111
0.35,0.08,0.0935775,0.0233595,9.35101,17.2968,6.34779
0.35,0.06,0.0935775,0.0233595,9.35101,17.2968,6.3799
0.35,0.11,0.0935775,0.0233595,9.35101,17.2968,5.80609
0.35,0.09,0.0935775,0.0233595,9.35101,17.2968,6.61986
0.35,0.02,0.0935775,0.0233595,9.35101,17.2968,6.72029
0.35,0.02,0.0935775,0.0233595,9.35101,17.2968,6.11953
0.35,0.08,0.0935775,0.0233595,9.35101,17.2968,6.00087
27.76,0.02,0.109509,0.0218898,3.54031,11.7081,4.2929
1.85,0.23,0.0930675,0.0242552,6.05637,9.63067,8.08631
0.5,0.04,0.0834848,0.0246294,8.10447,14.1612,8.78546
0.35,0.04,0.0752864,0.0238631,8.5865,17.0004,6.60544
0.35,0.05,0.0752864,0.0238631,8.5865,17.0004,5.54874
0.35,0.07,0.0752864,0.0238631,8.5865,17.0004,5.97551
