temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
100.7,0.04,0.101528,0.0198931,5.78554,6.60659,5.90107
180.24,0.04,0.112928,0.0203985,5.78554,6.60659,4.70195
217.85,0.08,0.12519,0.0206686,3.81531,7.08061,4.85095
169.3,0.02,0.104644,0.0201397,5.22296,7.08061,0.955791
167.07,0.02,0.10366,0.0196594,8.06714,7.08061,4.91976
217.85,0.08,0.12519,0.0206686,3.6963,7.08061,4.32263
22.64,0.02,0.0889323,0.0202898,5.22296,7.08061,0.904464
27.76,0.1,0.104644,0.0201397,2.77902,7.90937,4.63116
161.41,0.04,0.104644,0.0201397,5.78554,6.60659,4.67995
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.47181
27.76,0.06,0.106288,0.02122,3.4984,7.90937,4.76498
217.85,0.02,0.12519,0.0194682,7.36013,7.08061,4.68876
41.19,0.04,0.106288,0.02122,5.76439,6.60659,4.60493
110.53,0.05,0.112928,0.0203985,3.4346,7.56392,4.55268
54.12,0.01,0.0567285,0.0209817,4.67156,7.08061,4.6886
224.16,0.01,0.12519,0.0206686,5.22296,7.56392,4.29532
41.19,0.08,0.106288,0.02122,3.81531,7.08061,4.66156
180.24,0.04,0.112928,0.0203985,5.78554,6.60659,4.38692
41.19,0.11,0.106288,0.02122,3.46332,7.56392,4.64546
97.32,0.09,0.112928,0.0203985,3.4346,7.56392,4.29336
171.27,0.01,0.10366,0.0196594,5.05073,7.90937,4.3098
110.09,0.04,0.112928,0.0203985,5.78554,6.60659,4.53425
62.26,0.02,0.104644,0.0201397,4.67156,7.08061,4.50644
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.34507
217.85,0.02,0.12519,0.0183026,4.67156,7.08061,4.31827
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.40386
29.01,0.11,0.101528,0.0198931,2.95891,7.08061,4.55052
25.8,0.04,0.0963568,0.0208937,5.78554,6.60659,4.74959
41.19,0.04,0.106288,0.02122,5.76439,6.60659,4.46802
109.01,0.06,0.104644,0.0201397,3.54031,7.08061,4.47944
71.4,0.05,0.10366,0.0196594,3.4346,7.56392,4.31803
154.33,0.04,0.101528,0.0198931,5.78554,6.60659,4.42785
27.76,0.1,0.101528,0.0198931,2.77902,7.90937,4.62329
190.02,0.02,0.112928,0.0203985,7.72188,7.08061,4.54776
27.76,0.1,0.112928,0.0203985,2.86555,7.90937,4.85869
79.98,0.02,0.10366,0.0196594,5.05073,7.08061,4.17549
27.76,0.1,0.101528,0.0198931,2.77902,7.90937,4.54362
224.16,0.01,0.12519,0.0206686,5.22296,7.56392,4.18159
29.01,0.06,0.0956423,0.0200135,3.91605,7.08061,4.65325
89.03,0.01,0.104644,0.0201397,5.78554,6.60659,4.48468
83.87,0.02,0.112928,0.0203985,4.67156,7.08061,4.3996
224.16,0.01,0.12519,0.0206686,5.22296,7.56392,4.16951
26.6,0.12,0.101528,0.0198931,4.25389,9.15983,4.77884
41.19,0.01,0.106288,0.02122,5.76439,6.60659,4.50903
190.02,0.08,0.112928,0.0203985,3.54031,7.08061,4.55016
83.87,0.05,0.112928,0.0203985,6.39139,6.66145,4.19078
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.48886
108.35,0.04,0.104644,0.0201397,5.78554,6.60659,4.43514
224.16,0.01,0.12519,0.0206686,5.22296,7.56392,4.33124
168.99,0.01,0.10366,0.0196594,7.74393,7.08061,4.39852
41.19,0.11,0.106288,0.02122,3.46332,7.56392,4.66533
217.85,0.07,0.12519,0.0206686,3.42115,7.08061,4.45566
41.19,0.07,0.106288,0.02122,3.42115,7.08061,4.33372
63.33,0.04,0.101528,0.0198931,5.78554,6.60659,4.39202
41.19,0.04,0.106288,0.02122,5.76439,6.60659,4.61472
26.6,0.05,0.104644,0.0201397,4.25389,9.15983,4.64972
110.4,0.08,0.112928,0.0203985,3.59583,7.08061,4.57995
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.53604
97.28,0.07,0.112928,0.0203985,3.42115,7.08061,4.32722
41.19,0.11,0.106288,0.0102849,3.46332,7.56392,4.43386
217.85,0.06,0.12519,0.0206686,4.67156,7.08061,4.19084
217.85,0.06,0.12519,0.0206686,3.81531,7.08061,4.49003
75.76,0.07,0.104644,0.0201397,3.42115,7.08061,4.39614
224.16,0.01,0.12519,0.0183026,5.22296,7.56392,4.14927
75.77,0.09,0.104644,0.0201397,3.4346,7.56392,4.38029
63.34,0.08,0.101528,0.0198931,3.4346,7.56392,4.72347
68.9,0.02,0.10366,0.0196594,7.74393,7.08061,4.84027
73.2,0.02,0.10366,0.0196594,7.74393,7.08061,4.83953
83.88,0.11,0.112928,0.0203985,3.4346,7.56392,4.75026
40.62,0.01,0.0963568,0.0208937,4.67156,7.08061,4.37607
177.46,0.09,0.104644,0.0201397,3.4346,7.56392,4.29766
224.16,0.01,0.12519,0.0194682,5.22296,7.56392,4.2817
41.19,0.09,0.106288,0.02122,3.46332,7.56392,4.71067
196.29,0.15,0.112928,0.0203985,3.4346,7.56392,4.43295
196.29,0.09,0.112928,0.0203985,3.4346,7.56392,4.54924
41.19,0.08,0.106288,0.02122,3.6963,7.08061,4.55557
62.26,0.11,0.104644,0.0201397,3.4346,7.56392,4.37904
41.19,0.02,0.106288,0.02122,4.67156,7.08061,4.42059
67.64,0.08,0.101528,0.0198931,3.4346,7.56392,4.40108
217.85,0.08,0.12519,0.0206686,3.59583,7.08061,4.46421
31.52,0.05,0.11153,0.0209495,5.78554,6.67769,6.13193
165.73,0.05,0.105387,0.020444,5.78554,6.67769,4.91599
31.52,0.05,0.11153,0.0209495,5.78554,6.67769,5.01219
31.52,0.05,0.106041,0.0206906,5.78554,6.67769,5.02997
29.12,0.07,0.11153,0.0209495,3.4346,7.33631,4.60678
31.52,0.05,0.121332,0.0212195,5.78554,6.67769,4.54758
31.52,0.05,0.121332,0.0212195,5.78554,6.67769,4.77355
25.8,0.03,0.0931728,0.0214447,5.78554,6.67769,5.62452
85.08,0.05,0.11153,0.0209495,5.78554,6.67769,4.53346
201.96,0.05,0.121332,0.0212195,5.78554,6.67769,4.59774
70.79,0.03,0.106041,0.0206906,5.78554,6.67769,4.7138
25.8,0.05,0.0920118,0.0211343,5.78554,6.67769,5.02435
80.07,0.05,0.105387,0.020444,5.78554,6.67769,4.54746
52.35,0.08,0.106041,0.0206906,3.81531,6.91133,4.65888
31.52,0.05,0.121332,0.0212195,5.78554,6.67769,4.29259
211.72,0.1,0.121332,0.0212195,3.81531,6.91133,4.42803
25.8,0.05,0.0920118,0.0211343,5.78554,6.67769,5.79095
31.52,0.05,0.106041,0.0206906,5.78554,6.67769,4.62012
31.52,0.03,0.11153,0.0209495,5.78554,6.67769,4.63668
29.89,0.11,0.105387,0.020444,2.99914,6.91133,4.4438
184.21,0.02,0.109169,0.0202103,7.74393,6.91133,4.48471
184.12,0.02,0.109169,0.0202103,7.74393,6.91133,4.49693
184.12,0.03,0.109169,0.0202103,7.74393,6.91133,4.50081
211.72,0.24,0.121332,0.0139595,7.36013,6.91133,4.68479
38.39,0.15,0.106568,0.0205644,4.62397,6.91133,0.871146
38.23,0.18,0.105387,0.020444,3.42115,6.91133,4.19834
39.93,0.22,0.106041,0.0206906,3.42115,6.91133,4.53618
51.35,0.18,0.11153,0.0209495,4.67156,6.91133,4.55226
