temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
96.56,0.15,0.0684203,0.00394589,4.29325,6.70627,4.28397
76.24,0.14,0.0684203,0.00538824,3.8782,4.50637,4.3406
57.57,0.1,0.0771117,0.0132823,4.9176,6.70627,0.883673
48.8,0.09,0.0771117,0.0160759,3.16655,6.63685,4.51301
7.25,0.02,0.104322,0.0233428,7.56392,7.65806,4.93548
22.64,0.01,0.0979658,0.0220321,6.19181,12.5795,4.53568
14.05,0.01,0.103922,0.0230946,5.78554,19.8466,4.01317
49.51,0.14,0.0771117,0.00748996,3.54031,4.67156,4.94362
11.79,0.16,0.0979658,0.024081,3.84659,6.70627,5.68568
3.02,0.17,0.0979658,0.024081,5.1519,10.0135,6.90927
0.95,0.11,0.104202,0.0239068,6.91133,13.241,7.14295
67.61,0.09,0.0758345,0.0235662,2.7423,23.6589,4.39634
96.78,0.19,0.0684203,0.00394589,4.29325,5.86229,4.29171
39.78,0.2,0.0908761,0.0223614,2.0679,12.1977,4.43348
32.92,0.07,0.109509,0.00981287,3.072,16.1654,3.53898
26.95,0.16,0.0979658,0.024081,3.84659,5.86229,4.71284
48.1,0.09,0.0798728,0.0226173,2.79556,8.49532,4.53522
39.63,0.13,0.0979658,0.024081,2.4588,11.2414,4.23655
19.81,0.01,0.108191,0.0224622,7.08061,12.0739,4.08413
92.99,0.16,0.0684203,0.00538824,3.8782,3.8782,4.20776
45.12,0.07,0.0899875,0.00937869,2.55799,12.1977,4.27478
45.12,0.07,0.0899875,0.00937869,2.55799,12.1977,4.11587
45.12,0.07,0.0899875,0.00937869,2.55799,12.1977,4.17087
4.4,0.37,0.104202,0.0239068,4.64435,8.62745,6.03733
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.10005
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.95499
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.11203
42.61,0.07,0.0996109,0.00876767,2.4588,11.2414,4.02009
16.11,0.25,0.104202,0.0239068,2.99914,6.39103,5.55844
57.39,0.14,0.0771117,0.00748996,3.54031,4.67156,4.30217
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.86405
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.96771
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.67336
3.01,0.38,0.104202,0.0239068,5.22296,9.81268,7.0329
100.02,0.15,0.0735775,0.00644499,4.42277,4.22999,4.28717
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.03997
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.03803
42.61,0.07,0.0996109,0.00876767,2.4588,11.2414,4.22558
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.40869
23.15,0.24,0.0979658,0.024081,2.57595,4.22999,5.01525
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.57558
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.28613
49.28,0.06,0.0826519,0.0229338,3.16655,23.6589,4.38265
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.59721
72.73,0.1,0.0771117,0.0132823,4.25876,5.86229,4.2469
60.83,0.14,0.0771117,0.00748996,3.54031,4.67156,4.34154
83.39,0.1,0.0771117,0.0132823,4.25876,5.05073,4.32117
15.23,0.2,0.0979658,0.024081,3.16655,7.7183,6.03032
68.94,0.09,0.0771117,0.0160759,3.16655,6.63685,4.68034
5.63,0.3,0.102136,0.0227871,4.34552,6.70627,6.00449
102.79,0.15,0.0648861,0.00394589,4.29325,4.25876,4.41593
27.13,0.3,0.102136,0.0227871,2.42863,3.8788,4.80311
23.1,0.01,0.109509,0.00981287,5.76439,16.1654,4.68036
68.73,0.19,0.083407,0.0244535,1.93314,6.913,4.71203
61.02,0.09,0.0771117,0.0160759,3.16655,6.63685,4.3232
18.82,0.24,0.0979658,0.024081,3.17525,4.34552,5.45799
32.92,0.02,0.109509,0.00981287,3.6963,16.1654,3.76774
5.44,0.21,0.102136,0.0227871,4.63988,7.43705,6.59266
60.42,0.19,0.083407,0.0244535,1.92118,6.913,4.61171
60.38,0.26,0.0908761,0.0223614,1.761,4.50637,4.81461
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.80877
24.58,0.3,0.102136,0.0227871,2.42863,11.2414,4.3002
42.27,0.18,0.0944315,0.0230772,3.11962,3.97907,4.92355
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.88476
54.51,0.19,0.083407,0.0244535,2.16158,6.913,4.52445
45.12,0.07,0.0899875,0.00937869,2.55799,12.1977,4.67455
27,0.21,0.0908761,0.0223614,2.6974,4.67156,4.99331
37.6,0.16,0.0979658,0.024081,3.84659,3.84659,4.7956
22.04,0.27,0.0944315,0.0230772,2.7423,12.1977,5.53867
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.54914
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.07267
45.12,0.17,0.0899875,0.00937869,2.60529,12.1977,4.69776
98.53,0.26,0.0908761,0.0223614,3.54031,4.50637,4.61526
45.12,0.06,0.0899875,0.00937869,2.60529,13.4659,4.38277
45.12,0.07,0.0899875,0.00937869,2.55799,12.1977,4.32276
32.92,0.07,0.109509,0.00981287,3.11962,16.1654,3.47781
36.26,0.2,0.0944315,0.0230772,1.99531,11.2414,3.95933
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.23745
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.25324
6.97,0.25,0.0944315,0.0230772,4.13581,5.70857,5.99336
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.53057
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.98631
126.57,0.11,0.083407,0.00585387,6.64414,7.90704,4.31099
82.05,0.13,0.083407,0.0244535,2.50888,6.53188,4.62811
35.43,0.22,0.0979658,0.024081,2.0679,12.1977,4.70081
32.92,0.07,0.109509,0.00981287,3.08023,16.1654,3.52279
107.44,0.19,0.0684203,0.00394589,4.29325,3.78196,4.62364
40.02,0.26,0.0908761,0.0223614,1.93314,4.50637,4.5852
67.21,0.21,0.0944315,0.0230772,2.6974,3.97907,4.49581
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.47911
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.49219
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.2135
85.07,0.16,0.0684203,0.00538824,3.8782,4.22454,4.33848
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.03098
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.50325
60.7,0.14,0.0798728,0.0226173,2.0679,8.49532,4.56366
5.74,0.13,0.102136,0.0227871,4.63988,7.56392,5.51433
82.33,0.19,0.0834848,0.0246294,2.16158,6.53188,4.61824
67.31,0.19,0.0834848,0.0246294,1.761,6.913,4.49048
50.9,0.19,0.0834848,0.0246294,2.42863,6.913,4.55178
43.68,0.21,0.0930675,0.0242552,2.0679,12.1977,4.12246
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.67589
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.52919
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.54527
80.74,0.17,0.0798728,0.0226173,1.93314,8.49532,4.54443
54.69,0.19,0.0834848,0.0246294,1.92,6.913,4.56169
63.07,0.24,0.0930675,0.0242552,2.17223,3.8788,4.68903
37.29,0.26,0.0930675,0.0242552,2.7423,4.42277,5.06192
25.95,0.32,0.104202,0.0239068,2.4588,12.1977,4.66511
7.05,0.32,0.104202,0.0239068,4.13581,5.78554,5.98823
31.31,0.17,0.104202,0.0239068,2.65087,11.2414,4.18981
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.51669
12.32,0.37,0.104202,0.0239068,3.2809,5.35409,5.83679
32.92,0.16,0.109509,0.00981287,2.17223,16.1654,3.91338
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.64206
22.99,0.01,0.109509,0.00981287,5.76439,16.1654,4.42564
23.01,0.01,0.109509,0.00981287,5.76439,16.1654,4.40196
79.44,0.18,0.0899875,0.00937869,3.8788,5.06121,4.632
74.37,0.19,0.0927842,0.0123019,2.89992,3.78196,4.56324
45.43,0.06,0.0996109,0.00876767,2.50888,11.1822,4.15264
36.33,0.23,0.116091,0.0188981,2.42863,4.57638,4.66122
37.9,0.13,0.0970641,0.0210345,3.8782,11.2414,4.77522
66.8,0.24,0.0970641,0.0210345,2.50888,3.78196,4.81962
74.25,0.22,0.093121,0.0171757,2.76906,3.78196,4.79799
26.18,0.27,0.104202,0.0239068,2.6974,4.67156,5.32096
42.61,0.07,0.0996109,0.00876767,2.4588,11.2414,4.04141
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.58008
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.61251
39.65,0.22,0.103026,0.0175003,1.92118,4.93303,5.16811
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.80157
41.57,0.26,0.0930675,0.0242552,2.17223,4.50637,4.56371
40.36,0.07,0.109509,0.00981287,3.17525,15.9891,3.59464
52.43,0.28,0.102136,0.0227871,1.92118,3.69069,4.54025
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.61082
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.60305
42.07,0.07,0.0996109,0.00876767,6.39103,12.0336,4.47521
70.65,0.18,0.0996109,0.00876767,2.60529,3.78196,4.37412
65.94,0.22,0.103026,0.0175003,2.31496,3.78196,4.69993
49.64,0.27,0.0930675,0.0242552,1.761,4.224,4.73127
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.96228
7.99,0.36,0.104202,0.0239068,4.13581,6.70627,6.03891
45.12,0.07,0.0899875,0.00937869,2.60529,12.1977,4.36901
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,4.36702
54.32,0.19,0.0927842,0.0123019,2.86555,6.22373,4.42061
42.61,0.07,0.0996109,0.00876767,2.50888,11.2414,3.99635
99.02,0.13,0.0930675,0.0185588,4.67156,3.78196,4.39765
39.49,0.21,0.093121,0.0171757,2.89992,4.92321,4.99284
42.07,0.2,0.0996109,0.00876767,2.50888,11.2414,4.51616
54.27,0.22,0.093121,0.0171757,2.0679,3.8788,4.74388
32.92,0.07,0.109509,0.00981287,3.17525,16.1654,3.68672
59.38,0.18,0.0899875,0.00937869,2.60529,4.22454,4.44787
46.8,0.24,0.0970641,0.0210345,3.4984,4.67156,4.82332
45.38,0.05,0.0899875,0.00937869,2.60529,12.1977,4.09599
27.54,0.2,0.093121,0.0171757,5.59194,7.56392,5.49499
45.12,0.07,0.0899875,0.00937869,2.55799,12.1977,4.25614
42.57,0.03,0.0924186,0.00666902,3.59583,5.84891,4.20915
19.97,0.03,0.0990654,0.00311354,3.69069,5.38071,4.26171
77.15,0.11,0.0684203,0.00538824,3.8782,3.8782,4.34106
96.56,0.12,0.0684203,0.00394589,4.29325,4.34446,4.34501
55.57,0.14,0.0771117,0.00748996,3.54031,4.67156,4.27544
53.1,0.09,0.0771117,0.0160759,3.16655,6.63685,4.31872
86.27,0.06,0.0684203,0.00538824,3.8782,3.8782,4.26474
98.39,0.06,0.0684203,0.00394589,4.29325,4.62397,4.34078
33.94,0.09,0.0924186,0.0085187,3.39817,5.84891,4.49519
15.68,0.16,0.0979658,0.024081,3.84659,4.77642,5.14826
76.29,0.09,0.0741175,0.0154221,4.22508,6.76135,4.63383
61.47,0.1,0.0771117,0.0132823,4.25876,5.05073,4.37715
0.03,0.02,0.0771117,0.0245214,13.241,23.031,5.26678
7.32,0.2,0.0979658,0.024081,4.00908,7.7183,6.20255
42.57,0.09,0.0924186,0.0085187,4.42277,6.8692,4.41965
62.22,0.09,0.0771117,0.0160759,3.16655,6.63685,4.35954
61.24,0.14,0.0771117,0.00748996,3.54031,4.67156,4.2376
28.56,0.16,0.0979658,0.024081,3.84659,4.62397,5.10551
