temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
400,0.04,0.0436322,0.000788889,4.33915,17.9884,8.28123
400,0.01,0.0435274,0.0268654,7.00076,17.9884,7.91334
400,0.02,0.0449362,0.0270397,4.33915,12.0165,9.1528
400,0.04,0.0435274,0.0268654,4.33915,17.9884,8.46739
400,0.02,0.0303775,0.0262734,4.33915,12.0165,8.92901
400,0.02,0.0322677,0.0260991,4.34446,13.9218,8.94497
400,0.02,0.0365754,0.0266686,4.2825,9.42732,7.81566
400,0.02,0.0365754,0.0266686,4.2825,9.42732,10.4061
201.96,0.03,0.121332,0.0212195,5.78554,6.95454,8.25364
201.96,0.03,0.121332,0.0212195,5.78554,6.67769,8.47933
400,0.03,0.0449362,0.0270397,4.33915,12.0165,9.09004
400,0.03,0.0449362,0.0270397,4.33915,12.0165,9.36826
400,0.02,0.0365754,0.0266686,4.2825,9.42732,8.08206
400,0.02,0.0213422,0.025402,4.34446,12.0165,9.44244
400,0.03,0.0365754,0.0266686,3.6963,9.42732,8.71233
400,0.03,0.0365754,0.0266686,3.6963,9.42732,9.12323
400,0.01,0.036201,0.0259723,7.00076,17.9884,7.69208
400,0.01,0.0435274,0.0268654,7.00076,17.9884,6.70757
