temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
29.12,0.08,0.0964983,0.0235356,5.20041,4.74399,9.19133
79.28,0.13,0.0862268,0.0232567,3.84659,4.74399,9.41517
27.76,0.04,0.0923084,0.00572994,3.46332,6.55054,9.87612
47.61,0.06,0.083686,0.0144065,2.79556,9.34509,9.25977
29.48,0.03,0.0984344,0.0231365,4.29325,6.55054,9.78358
27.76,0.04,0.0923084,0.00572994,3.46332,6.55054,9.84969
29.12,0.03,0.0894429,0.0234325,3.78196,6.19181,9.71163
29.12,0.06,0.0862268,0.0232567,3.78196,6.19181,10.6489
27.76,0.03,0.0724053,0.00373723,4.4946,4.67156,9.91598
29.12,0.06,0.0724053,0.00373723,4.4946,6.19181,9.47933
73.06,0.05,0.0724053,0.0114445,2.99066,4.67156,9.40427
29.12,0.02,0.0908684,0.00265132,5.05073,6.19181,9.05748
104.83,0.15,0.0724053,0.00373723,4.4946,4.67156,8.70214
29.12,0.05,0.0908684,0.00265132,5.05073,6.19181,9.08011
104.73,0.18,0.0724053,0.00373723,4.4946,6.08711,9.14655
41.84,0.02,0.0862268,0.0232567,5.38071,6.60659,10.2931
52.78,0.05,0.0820643,0.0238841,4.4946,7.08061,10.7293
29.12,0.03,0.0917442,0.00664758,4.67156,6.83693,10.6412
41.84,0.07,0.0862268,0.0232567,3.09591,9.62301,9.69558
52.78,0.05,0.0820643,0.0238841,4.4946,9.62301,10.2122
33.24,0.02,0.101634,0.0222287,6.39103,6.83693,8.82009
33.24,0.02,0.101634,0.0222287,6.39103,6.83693,8.68316
27.25,0.02,0.107401,0.0216894,6.39103,7.33631,8.67858
27.25,0.02,0.107401,0.0216894,7.08061,7.33631,9.7685
29.12,0.09,0.0819395,0.0228226,3.54031,8.62959,9.86091
37.3,0.01,0.0922662,0.0234739,6.39103,6.08711,8.65455
94.49,0.03,0.0807182,0.0225437,6.76135,8.52618,8.72601
71.79,0.06,0.0728414,0.0229969,3.54031,7.74393,9.60317
33.08,0.06,0.0882391,0.0222674,3.54031,7.74393,9.53662
49.66,0.05,0.0819395,0.0228226,3.4984,8.62959,9.53372
21.96,0.02,0.107401,0.0216894,4.42277,7.56392,9.61351
21.96,0.02,0.107401,0.0216894,5.05528,7.33631,10.3294
97.42,0.02,0.0832778,0.0217719,7.08061,7.72785,9.98065
21.96,0.02,0.107401,0.0216894,7.08061,7.33631,10.1703
128.76,0.01,0.0827304,0.0216158,7.1328,9.50739,9.927
60.83,0.03,0.0789137,0.0221291,5.05073,6.95454,11.2608
