temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
16.73,0.11,0.108191,0.0224622,2.76906,9.49964,20.7977
18.16,0.15,0.108191,0.0224622,2.76906,9.49964,16.0117
60.36,0.05,0.0825742,0.00991185,3.08023,8.10049,15.191
81.37,0.08,0.0449362,0.0270397,3.96631,8.52618,17.7893
48.11,0.11,0.0841781,0.0163441,3.96631,5.78554,17.8984
47.74,0.09,0.0841781,0.0239918,3.96631,5.78554,18.2754
54.5,0.05,0.0944315,0.010957,2.7423,9.96182,19.0766
46.04,0.06,0.102136,0.0196484,2.42863,9.96182,18.9772
47.24,0.15,0.116091,0.022138,5.76439,9.96182,18.5043
19.34,0.07,0.109509,0.00981287,3.11962,10.697,20.1084
46.51,0.11,0.116091,0.0188981,5.76,9.61966,18.997
46.92,0.1,0.116091,0.0188981,5.76439,9.96182,19.1269
57.54,0.06,0.0935775,0.0186032,2.31496,8.10049,20.408
70.62,0.06,0.0944315,0.010957,5.76439,9.96182,20.4941
61.55,0.1,0.102136,0.0196484,5.76439,9.96182,20.3933
54.07,0.11,0.0964983,0.00548341,3.59583,5.78554,17.8395
60.48,0.14,0.0944995,0.0229804,2.76906,8.10049,15.697
57.53,0.06,0.0935775,0.0186032,2.36712,8.10049,15.6069
100.18,0.06,0.0841781,0.0239918,3.96631,8.52618,18.479
102.4,0.09,0.0841781,0.0163441,3.96631,8.52618,17.7315
53.5,0.03,0.0964983,0.00548341,3.59583,5.78554,17.8663
19.38,0.05,0.109509,0.0132143,3.16655,10.697,20.1
61.56,0.09,0.102136,0.0196484,5.76439,9.96182,15.6204
46.01,0.05,0.102136,0.0196484,2.42863,9.96182,18.9052
