temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
30.97,0.22,0.0935775,0.0179549,2.57595,3.4346,2.37625
62.21,0.08,0.0825742,0.00959402,3.16655,6.70627,2.20194
31.97,0.13,0.0825742,0.0236496,2.21632,10.4154,1.96882
14.35,0.12,0.0935775,0.0186032,15.4605,13.8385,0.308233
4.89,0.23,0.102136,0.0185189,4.64435,8.78832,2.95387
67,0.09,0.0760948,0.013901,2.79556,10.6183,2.49261
54.48,0.05,0.0926142,0.0186657,3.91605,6.39103,2.40396
9.35,0.02,0.103922,0.0230946,3.6963,10.6486,2.17049
58.18,0.02,0.0905274,0.0218881,4.4946,8.50616,2.53549
53.08,0.18,0.0841781,0.0163441,2.50888,5.05528,2.12584
3.65,0.16,0.0442883,0.0185376,4.99707,8.62745,2.20059
3.65,0.07,0.0442883,0.0185376,5.16619,8.62745,2.02481
3.65,0.28,0.0442883,0.0185376,4.99707,8.62745,2.23416
2.05,0.29,0.0442883,0.0185376,6.05637,11.136,2.65029
46.61,0.16,0.0856048,0.023126,2.36712,5.43058,2.262
11.58,0.28,0.0980227,0.0225867,3.4346,5.86229,2.61282
40.28,0.12,0.0896618,0.0159854,2.42863,7.56392,2.39463
10.33,0.16,0.0896618,0.0228768,3.4346,6.05637,2.9152
8.41,0.37,0.0896618,0.0228768,3.84,6.41873,3.21341
50.84,0.07,0.0905016,0.0224235,3.59583,7.56392,2.53342
74.72,0.07,0.0882391,0.0222674,3.2285,21.7454,2.1783
5.93,0.33,0.0819395,0.0228226,4.29325,6.05637,3.50239
7.22,0.07,0.0897755,0.0237221,4.59798,8.98921,3.0465
7.18,0.03,0.0949856,0.0230705,3.84,7.08061,2.92476
1.72,0.3,0.0820173,0.0224433,6.21261,10.4812,3.78645
96.93,0.02,0.0691136,0.00798319,3.4984,13.241,2.01266
7.59,0.17,0.0944315,0.010957,4.02227,7.17307,3.01996
1.92,0.11,0.0944315,0.0230772,6.50076,12.1431,3.09069
31.55,0.1,0.0944315,0.010158,3.16655,6.39103,1.91905
1.94,0.07,0.104202,0.00625374,6.01055,11.1625,3.10978
29.42,0.01,0.0997848,0.0223639,9.63067,12.8477,2.49558
20.22,0.14,0.0979658,0.0220321,2.76906,5.46694,2.60051
37.33,0.05,0.0947965,0.0225852,4.67156,6.19181,2.53268
6.89,0.34,0.0843607,0.0233147,4.22508,7.08061,3.29768
0.01,0.04,0.0944315,0.0188499,17.2748,29.2067,5.66334
62.84,0.08,0.0917442,0.0237099,3.84,14.1612,2.72902
53.93,0.15,0.0964983,0.00548341,3.96631,4.05763,2.35714
2.37,0.07,0.0878556,0.0234932,6.02318,12.2162,3.26857
21.48,0.04,0.0944995,0.0229804,5.27388,6.19181,2.45145
103.61,0.02,0.0819395,0.0047643,6.02318,8.62959,2.36886
1.85,0.03,0.156815,0.0108414,5.4972,10.0135,3.58272
4.38,0.33,0.0819395,0.0228226,4.64435,8.5865,3.90457
2.24,0.3,0.0728999,0.0234161,5.8272,10.9153,3.71967
2.3,0.35,0.0728999,0.0234161,5.76,10.4812,3.03744
