temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
25.28,0.04,0.115429,0.0208068,3.54095,5.76,4.62354
242.05,0.3,0.119934,0.01721,3.6963,6.01055,4.14196
23.5,0.21,0.114748,0.021317,3.42115,6.02318,4.20079
242.05,0.13,0.119934,0.01721,3.81531,6.01055,4.11922
37.23,0.18,0.117827,0.0211609,4.67156,6.02318,4.21228
59.1,0.09,0.112928,0.0184378,3.54031,5.76,4.60672
59.1,0.2,0.112928,0.0184378,3.59583,6.02318,4.19536
242.05,0.1,0.119934,0.01721,3.81531,6.01055,4.07563
244.21,0.09,0.119934,0.00769912,4.2825,5.76,4.82172
37.23,0.09,0.117827,0.0211609,3.54031,5.76,4.26571
77.39,0.22,0.119934,0.01721,3.59583,6.01055,4.10192
69.59,0.12,0.1099,0.0196057,3.81531,6.01055,4.21799
230.28,0.06,0.115429,0.0208068,7.74393,6.64414,4.33834
242.05,0.26,0.119934,0.00769912,7.36013,6.01055,4.34025
77.83,0.16,0.119934,0.01721,3.54031,6.01055,4.15671
59.53,0.15,0.112928,0.0184378,3.54031,6.02318,4.14883
23.5,0.09,0.114748,0.021317,3.54031,5.76,4.27012
230.75,0.03,0.115429,0.0208068,3.54031,5.76,4.66939
230.28,0.06,0.115429,0.0208068,7.74393,6.02318,4.36982
98.32,0.1,0.110896,0.020665,4.63988,6.64414,4.25859
51.62,0.12,0.1099,0.0196057,3.54031,6.02318,4.2636
230.75,0.09,0.115429,0.0208068,3.54031,5.76,4.7171
37.23,0.09,0.117827,0.0211609,3.54095,5.76,4.32571
37.23,0.08,0.117827,0.0211609,3.54031,5.76,4.38392
223.75,0.15,0.112928,0.0184378,3.6963,6.02318,4.14535
72.19,0.15,0.110896,0.020665,3.6963,6.01055,4.27245
244.21,0.09,0.119934,0.01721,4.2825,5.76,4.84792
230.75,0.09,0.115429,0.0208068,3.54031,5.76,4.84786
84.03,0.13,0.115429,0.0155017,7.56392,6.01055,4.4385
37.23,0.01,0.117827,0.0211609,4.67156,6.02318,4.25812
86.27,0.08,0.110896,0.020665,3.54031,5.76,4.80801
230.28,0.06,0.115429,0.0208068,7.74393,6.02318,4.37364
37.23,0.01,0.117827,0.0211609,4.67156,6.02318,4.30172
77.39,0.09,0.119934,0.01721,4.2825,5.76,4.64263
27.76,0.08,0.116787,0.0198918,4.22454,6.01055,4.19877
