temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
224.16,0.01,0.12519,0.0206686,5.22296,7.56392,3.93945
173.51,0.01,0.104644,0.0201397,5.05073,7.90937,4.18979
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.21305
22.64,0.01,0.0888278,0.0205834,5.22296,7.08061,0.86142
217.85,0.08,0.12519,0.0206686,3.59583,7.08061,4.19415
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.24504
180.24,0.04,0.112928,0.0203985,5.78554,6.60659,4.15785
190.02,0.08,0.112928,0.0203985,3.6963,7.08061,4.19729
171.22,0.02,0.104644,0.0201397,7.74393,7.08061,4.35251
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.24883
26.6,0.12,0.101528,0.0198931,4.25389,9.15983,4.55343
89.03,0.01,0.104644,0.0201397,5.78554,6.60659,4.38034
110.53,0.05,0.112928,0.0203985,3.4346,7.56392,4.20967
110.4,0.08,0.112928,0.0203985,3.59583,7.08061,4.25552
41.19,0.04,0.106288,0.02122,5.76439,6.60659,4.28579
108.35,0.04,0.104644,0.0201397,5.78554,6.60659,4.41236
100.7,0.04,0.101528,0.0198931,5.78554,6.60659,4.31292
41.19,0.09,0.106288,0.02122,3.46332,7.56392,4.36048
83.88,0.11,0.112928,0.0203985,3.4346,7.56392,4.29567
190.02,0.02,0.112928,0.0203985,7.72188,7.08061,4.31795
75.77,0.09,0.104644,0.0201397,3.4346,7.56392,4.2585
217.85,0.08,0.12519,0.0206686,3.6963,7.08061,4.10797
97.32,0.09,0.112928,0.0203985,3.4346,7.56392,4.15946
217.85,0.08,0.12519,0.0206686,3.81531,7.08061,4.35731
67.64,0.08,0.101528,0.0198931,3.4346,7.56392,4.26498
109.01,0.06,0.104644,0.0201397,3.54031,7.08061,4.37179
41.19,0.11,0.106288,0.02122,3.46332,7.56392,4.6318
41.19,0.11,0.106288,0.0102849,3.46332,7.56392,4.17606
41.19,0.08,0.106288,0.02122,3.81531,7.08061,4.51325
168.99,0.01,0.10366,0.0196594,7.74393,7.08061,4.30997
168.99,0.01,0.10366,0.0196594,7.74393,7.08061,4.362
208.1,0.04,0.12519,0.0206686,5.78554,6.60659,4.34561
41.19,0.01,0.106288,0.02122,5.76439,6.60659,4.32533
217.85,0.02,0.12519,0.0183026,4.67156,7.08061,4.21019
83.87,0.02,0.112928,0.0203985,4.67156,7.08061,4.2631
