temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
1.98,0.25,0.0980227,0.0225867,5.92095,9.35101,16.3766
29.12,0.08,0.0922662,0.0234739,5.05073,23.1039,9.60947
7.76,0.18,0.110142,0.0219376,3.92779,9.06857,12.7499
0.64,0.08,0.0980227,0.0225867,7.72785,14.2856,17.4755
0.64,0.08,0.0980227,0.0225867,7.72785,14.2856,17.4418
0.64,0.06,0.0980227,0.0225867,7.72785,14.2856,17.5034
0.64,0.08,0.0980227,0.0225867,7.72785,14.2856,17.3769
6.08,0.16,0.110142,0.0219376,4.13581,9.06857,13.3888
2.71,0.19,0.0980227,0.0225867,5.53813,9.27953,15.84
58.02,0.02,0.0929428,0.0231404,4.25876,17.4605,9.44869
76.88,0.01,0.0843607,0.022596,7.43705,10.0119,10.3072
47.1,0.01,0.0947965,0.0225852,7.43705,10.0119,10.4826
58.02,0.01,0.0929428,0.0231404,7.43705,17.4605,10.4233
3.46,0.18,0.110142,0.0219376,5.02145,9.12758,12.0982
28.13,0.01,0.108191,0.0224622,6.39103,9.49964,8.76011
8.35,0.1,0.108191,0.0224622,3.84,9.49964,11.1875
58.76,0.03,0.0810933,0.0222852,3.8782,6.39103,9.74874
9.38,0.01,0.108191,0.0224622,5.53354,9.49964,11.1154
9.29,0.01,0.108191,0.0224622,8.75655,9.49964,9.54359
5.78,0.08,0.108191,0.0224622,4.34552,9.49964,11.1674
1.5,0.2,0.116091,0.022138,6.41873,9.8352,17.3524
0.22,0.01,0.109509,0.0218898,9.64692,17.5173,14.826
17.98,0.02,0.109509,0.0218898,4.42277,10.697,9.23392
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.5419
2.54,0.02,0.109509,0.0218898,5.53813,16.4011,13.6873
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.6377
17.98,0.02,0.109509,0.0218898,4.42277,10.697,9.5506
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.4827
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.8528
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,13.795
1.92,0.19,0.116091,0.022138,5.84891,11.1625,13.6279
3.69,0.02,0.109509,0.0218898,5.07121,16.4011,12.4067
3.98,0.06,0.104202,0.0239068,4.9176,6.95454,11.8586
6.66,0.05,0.104202,0.0239068,4.34446,6.08711,11.4236
6.66,0.13,0.104202,0.0239068,4.02227,6.08711,11.1186
0.06,0.14,0.116091,0.0188981,11.723,20.679,18.9913
27.76,0.05,0.0735775,0.0132823,3.54031,12.3965,10.059
27.76,0.08,0.0735775,0.00769587,3.54031,5.84891,9.8548
4.51,0.04,0.116091,0.0188981,7.56392,7.90704,11.9655
3.52,0.12,0.104202,0.0239068,5.16619,8.82573,11.9291
3.52,0.07,0.104202,0.0239068,5.16619,8.82573,11.7569
1.06,0.05,0.104202,0.0239068,7.08061,12.2218,12.6247
2.35,0.01,0.110142,0.0171992,7.56392,9.63067,12.5348
7.43,0.12,0.104202,0.0239068,4.02227,5.05073,9.86077
2.75,0.12,0.109509,0.0218898,5.3347,16.4011,14.6658
2.75,0.1,0.109509,0.0218898,5.3347,16.4011,14.6017
2.75,0.11,0.109509,0.0218898,5.3347,16.4011,14.0976
1.71,0.15,0.102136,0.0227871,6.25107,10.9153,17.3773
19.89,0.08,0.109509,0.0218898,3.54031,10.697,10.1405
19.89,0.01,0.109509,0.0218898,6.144,10.697,10.8188
14.14,0.06,0.109509,0.0218898,3.46332,10.697,10.5148
0.66,0.07,0.110142,0.0219376,7.72785,12.874,19.1113
29.12,0.03,0.0964983,0.015339,4.29325,6.83693,9.59248
47.8,0.01,0.0964983,0.0235356,5.20041,6.19181,9.47284
47.8,0.14,0.0964983,0.0235356,5.20041,6.19181,8.66205
1.98,0.21,0.0980227,0.0225867,5.92095,9.35101,14.5302
5.78,0.01,0.108191,0.0224622,6.144,9.49964,11.8922
9.29,0.01,0.108191,0.0224622,8.75655,9.49964,11.2942
0.36,0.06,0.102136,0.0227871,8.5865,16.1508,15.9647
0.36,0.03,0.102136,0.0227871,8.5865,16.1508,15.9108
0.36,0.06,0.102136,0.0227871,8.5865,16.1508,15.8879
2.82,0.11,0.116091,0.022138,5.35409,8.75655,15.2133
23.83,0.01,0.109509,0.0218898,6.39103,10.697,8.93787
1.52,0.17,0.102136,0.0196484,6.41873,10.3395,18.4125
1.52,0.14,0.102136,0.0196484,6.41873,10.3395,18.9157
1.52,0.15,0.102136,0.0196484,6.41873,10.3395,17.9718
1.52,0.12,0.102136,0.0196484,6.41873,10.3395,16.6603
1.52,0.22,0.102136,0.0196484,6.41873,10.3395,15.5253
1.4,0.22,0.102136,0.0227871,6.5167,11.9287,16.9592
1.4,0.16,0.102136,0.0227871,6.5167,11.9287,16.7396
0.06,0.15,0.116091,0.022138,11.723,20.679,19.0165
0.06,0.1,0.116091,0.022138,11.723,20.679,19.0292
0.06,0.11,0.116091,0.022138,11.723,20.679,18.5804
0.06,0.15,0.116091,0.022138,11.723,20.679,18.9519
0.06,0.15,0.116091,0.022138,11.723,20.679,19.2963
0.23,0.04,0.116091,0.022138,9.44515,17.9884,14.2131
0.22,0.12,0.109509,0.0218898,9.64692,17.5173,15.0339
2.75,0.11,0.109509,0.0218898,5.3347,16.4011,12.8474
2.75,0.13,0.109509,0.0218898,5.3347,16.4011,11.9403
2.75,0.11,0.109509,0.0218898,5.3347,16.4011,12.0158
4.03,0.03,0.104202,0.0239068,4.9176,6.92266,11.6913
7.43,0.07,0.104202,0.0239068,4.77642,5.4972,10.9778
4.44,0.11,0.104202,0.0239068,4.85726,8.5865,12.1002
9.73,0.12,0.0930675,0.0185588,4.63988,6.60659,10.1051
99,0.01,0.0930675,0.0185588,4.63988,6.60659,9.18966
