temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
400,0.21,0.116787,0.0198918,6.21261,6.83693,5.31012
107.82,0.07,0.0960508,0.0201546,4.85726,6.60659,5.35815
197.02,0.29,0.101547,0.0199209,4.67156,7.17307,5.85719
224.18,0.4,0.10948,0.0190887,5.41656,6.50076,5.85702
120.99,0.06,0.106041,0.0196329,4.85726,6.60659,5.26931
117.87,0.17,0.100564,0.017131,6.21261,6.83693,5.6634
192.61,0.32,0.100564,0.017131,5.41656,6.50076,5.35821
215.28,0.37,0.116787,0.0198918,5.0898,6.50076,5.51648
49.38,0.19,0.1047,0.020387,6.21261,6.83693,5.54374
246.87,0.36,0.125634,0.0201618,3.69069,6.50076,5.67598
197.71,0.32,0.103275,0.0181903,5.41656,6.50076,5.24793
400,0.3,0.10948,0.0190887,6.21261,6.83693,5.55739
52.01,0.01,0.0920118,0.0200766,6.21261,6.83693,5.66104
183.67,0.28,0.0960508,0.0201546,4.67156,7.17307,6.10561
25.73,0.09,0.106041,0.0196329,3.91605,11.2414,5.28424
40.73,0.25,0.115746,0.0207132,6.144,6.83693,5.38096
32.41,0.07,0.0897558,0.0206087,6.21261,4.50637,5.87391
254.16,0.11,0.125634,0.0201618,3.09591,6.66871,5.1787
30.59,0.11,0.116787,0.0198918,2.95891,6.76135,5.18895
84.38,0.09,0.100131,0.0193863,4.67156,6.76135,5.33889
30.59,0.1,0.106041,0.0196329,4.67156,6.76135,5.55924
30.59,0.1,0.115746,0.0207132,2.95891,6.66871,5.20012
30.59,0.11,0.115746,0.0207132,2.95891,6.66871,5.42819
254.16,0.11,0.125634,0.0201618,3.09591,6.66871,5.04791
254.16,0.11,0.125634,0.0201618,3.2285,6.66871,5.09942
30.59,0.11,0.115746,0.0207132,2.95891,6.66871,5.64723
241.89,0.02,0.125634,0.0201618,3.84659,10.697,5.05618
263.11,0.07,0.125634,0.0201618,3.84659,8.12491,5.1019
84.38,0.1,0.100131,0.0193863,3.84659,6.66871,5.37734
241.89,0.02,0.125634,0.0201618,3.84659,10.697,5.01006
40.73,0.07,0.115746,0.0207132,3.2285,8.62933,5.239
