temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
27.76,0.01,0.0549902,0.000350903,7.91636,7.90937,2.60923
27.76,0.06,0.0440629,0.0144134,3.4984,7.90937,2.22611
28.78,0.01,0.0625936,0.0114976,4.99707,7.90937,2.22359
27.76,0.06,0.0440629,0.0144134,3.4984,7.90937,2.22899
24.54,0.13,0.0440629,0.0215088,3.072,7.90937,2.25613
27.76,0.03,0.069981,0.00814568,8.14247,19.9689,2.22175
31.52,0.05,0.065443,0.0128544,5.78554,6.67769,2.25536
90.14,0.03,0.0688338,0.00734409,5.38071,10.4812,2.05374
25.51,0.05,0.0421569,0.0167338,5.78554,6.67769,2.22114
31.52,0.05,0.0864058,0.0100546,5.78554,6.67769,2.26917
14.68,0.05,0.0421569,0.0167338,5.76,6.67769,2.49748
36.8,0.05,0.0448368,0.0215806,5.05073,7.56392,2.00448
14.68,0.05,0.0421569,0.0103916,5.76,6.67769,2.59198
31.52,0.05,0.0421569,0.0194891,5.78554,6.67769,2.37192
51.61,0.05,0.0421569,0.0103916,5.78554,6.67769,2.20921
25.73,0.07,0.0688338,0.00734409,5.38071,5.43058,2.12101
51.61,0.03,0.0421569,0.0103916,5.78554,6.67769,2.36473
31.52,0.05,0.0581308,0.0152594,5.76439,6.67769,2.30962
51.61,0.05,0.0421569,0.0103916,5.78554,6.67769,2.28173
31.52,0.05,0.0421569,0.0194891,5.76,6.67769,2.38154
24.03,0.07,0.0688338,0.00734409,5.38071,5.43058,2.26989
24.71,0.09,0.0444643,0.0227876,3.91605,9.15983,2.55354
30.6,0.08,0.0419826,0.0203933,3.84,6.83693,2.30569
25.43,0.01,0.0625936,0.0114976,5.05073,7.90937,2.35392
27.67,0.04,0.0757204,0.0116257,6.39139,7.90704,2.23986
19.62,0.11,0.0444643,0.0221202,3.2285,9.15983,2.3792
22.99,0.1,0.0440629,0.0215088,3.08023,7.90937,2.38372
8.85,0.1,0.0636,0.0149527,3.69069,7.90937,2.59548
18.28,0.1,0.0440629,0.0215088,3.08023,7.90937,2.43252
26.61,0.07,0.0444643,0.0167803,3.91605,9.15983,2.45942
23.26,0.1,0.0567134,0.0148944,3.62265,7.33631,2.36553
24.71,0.1,0.0567134,0.0105664,3.81531,9.15983,2.4031
19.62,0.11,0.0444643,0.0221202,3.2285,9.15983,2.40977
86.77,0.04,0.0688338,0.00734409,5.22296,10.4812,2.14118
8.85,0.13,0.0440629,0.0215088,3.69069,7.90937,2.59751
29.01,0.06,0.0448368,0.0168819,3.91605,7.08061,2.27841
19.87,0.1,0.0448368,0.0168819,3.17525,7.08061,2.59922
15.48,0.05,0.0421569,0.0167338,5.76439,6.67769,2.5176
15.48,0.05,0.0421569,0.0103916,5.76439,6.67769,2.41947
25.51,0.05,0.0421569,0.0167338,5.78554,6.67769,2.29957
41.91,0.06,0.0424268,0.0178842,4.67156,7.08061,2.17601
50.98,0.09,0.0438882,0.0157123,3.8782,7.08061,2.13276
19.6,0.07,0.0438882,0.0157123,4.29325,7.08061,2.14804
66.62,0.06,0.0570394,0.00915621,3.8782,7.08061,2.13652
133.24,0.06,0.0864058,0.0100546,4.67156,7.08061,2.155
