temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
22.71,0.03,0.0406188,0.0190747,4.85726,10.5931,1.32674
22.71,0.03,0.0406188,0.0735928,6.8692,11.0028,0.183469
25.35,0.02,0.0403253,0.0758483,6.39103,10.8796,1.37681
35.26,0.03,0.0412493,0.0638967,6.39103,10.7479,1.15249
25.35,0.02,0.0403253,0.0758483,6.39103,10.8796,1.36534
14.07,0.05,0.0408951,0.0713276,5.27388,9.62301,1.14658
25.35,0.02,0.0403253,0.0758483,6.39103,10.8796,1.47274
25.35,0.02,0.0403253,0.0758483,6.39103,10.8796,1.28069
22.71,0.03,0.0406188,0.0735928,4.9176,10.5931,1.21672
21.16,0.05,0.0446001,0.00014676,4.85726,19.0651,1.34489
21.16,0.05,0.0446001,0.00014676,4.85726,19.0651,1.35698
22.71,0.03,0.0406188,0.0735928,4.9176,10.5931,1.27715
74.43,0.02,0.0407689,0.0773895,6.5167,10.0795,1.31161
21.16,0.05,0.0446001,0.00014676,4.85726,19.0651,1.29423
14.07,0.05,0.0408951,0.0713276,5.27388,9.62301,1.06303
23.01,0.04,0.0448765,0.000886587,5.70857,12.3374,1.44103
21.16,0.05,0.0446001,0.00014676,4.85726,19.0651,1.40338
22.71,0.03,0.0406188,0.0110483,4.85726,10.5931,1.3126
22.71,0.03,0.0406188,0.0735928,4.85726,10.5931,1.12305
14.07,0.03,0.0408951,0.0095156,5.27388,9.62301,1.26657
7.65,0.12,0.0447988,0.0124939,6.08711,16.259,1.45196
14.07,0.05,0.0408951,0.0713276,5.27388,9.62301,1.13416
22.71,0.03,0.0406188,0.0735928,4.85726,10.5931,1.11786
14.07,0.05,0.0408951,0.0713276,5.27388,9.62301,1.17013
7.65,0.12,0.0447988,0.0124939,6.08711,16.259,1.50063
7.65,0.12,0.0447988,0.0124939,6.08711,16.259,1.36881
14.07,0.05,0.0408951,0.0713276,5.27388,9.62301,1.06094
0.36,0.15,0.0822398,0.022114,8.70958,15.1476,1.07554
2.43,0.07,0.0628221,0.0225258,5.05073,9.44515,1.50818
0.81,0.1,0.0756442,0.0226843,7.41627,12.3965,1.16853
2.66,0.06,0.0662731,0.0222143,5.07121,9.27978,1.25304
7.65,0.12,0.0447988,0.0124939,6.08711,16.259,1.53791
12.8,0.13,0.0447988,0.0124939,6.08711,10.0795,1.57195
7.65,0.12,0.0447988,0.0124939,6.08711,16.259,1.34237
14.07,0.05,0.0408951,0.0176732,5.27388,9.62301,1.0617
