temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
84.75,0.02,0.0365754,0.0266686,5.00122,9.42732,4.37985
73.66,0.08,0.0365754,0.0266686,3.8782,9.42732,4.14669
82.26,0.02,0.0365754,0.0266686,5.00122,9.42732,4.36547
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.85193
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.77655
45.4,0.01,0.0435274,0.0268654,7.00076,17.9884,3.88759
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.80607
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.89157
60.27,0.13,0.0449362,0.0270397,5.76439,7.56392,3.73972
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.7757
39.85,0.01,0.0435274,0.0268654,7.00076,17.9884,3.86919
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.8292
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.90847
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.81656
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.83648
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,4.01162
43.36,0.01,0.0435274,0.0268654,7.00076,17.9884,3.8762
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.8016
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.78151
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.93339
47.83,0.02,0.0435274,0.0268654,3.54095,17.9884,3.95118
47.87,0.01,0.0435274,0.0268654,7.00076,17.9884,3.9062
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.85292
47.89,0.01,0.0435274,0.0268654,7.00076,17.9884,3.83227
54.37,0.09,0.0449362,0.0270397,3.84,7.90704,3.87256
71.38,0.08,0.0322677,0.0260991,3.96631,13.9218,3.94805
69.02,0.07,0.0322677,0.0260991,5.59112,13.9218,3.68522
68.78,0.07,0.0322677,0.0260991,4.42277,13.9218,3.88998
88.92,0.12,0.0213422,0.025402,3.54031,8.50616,3.99871
77.79,0.08,0.0365754,0.0266686,4.47817,9.42732,4.07591
64.3,0.06,0.0365754,0.0266686,5.96128,9.42732,4.02569
