temp,op,popstab_neg_to_neu,popstab_neu_to_neg,defect_influence_arsenic,defect_influence_vacancy,runtime
27.76,0.17,0.0684203,0.0248548,3.21348,4.25876,4.65619
27.76,0.07,0.0899875,0.00937869,3.21348,12.1977,4.99805
27.76,0.07,0.0996109,0.00876767,3.17525,11.2414,4.858
27.76,0.16,0.0684203,0.0248548,3.21348,4.50637,4.66994
27.76,0.18,0.0684203,0.0248548,3.84659,5.06121,4.7611
27.76,0.07,0.109509,0.00981287,3.46332,16.1654,5.18968
76.28,0.01,0.0751412,0.0244411,4.77642,23.6589,4.6224
27.76,0.18,0.0684203,0.0248548,3.21348,4.1536,4.52731
27.76,0.16,0.0684203,0.0248548,3.21348,4.34446,4.59722
27.76,0.07,0.0930535,0.00706879,3.17525,8.49532,4.78413
27.76,0.2,0.0684203,0.0248548,3.84659,4.00908,4.85022
27.76,0.02,0.107401,0.00811398,3.46332,9.49964,5.07261
84.57,0.01,0.0751412,0.0244411,4.71378,23.6589,4.64748
76.28,0.01,0.0751412,0.0244411,4.77642,23.6589,4.75784
74.83,0.01,0.0751412,0.0244411,4.77642,23.6589,4.9908
72.62,0.01,0.0751412,0.0244411,4.77642,23.6589,4.80234
27.76,0.23,0.0684203,0.00394589,3.8788,4.00908,4.81999
27.76,0.18,0.0684203,0.00538824,3.8782,4.00908,4.7478
19.97,0.1,0.0990654,0.00311354,4.93303,5.38071,4.72832
80.61,0.01,0.0751412,0.0244411,4.67156,23.6589,4.78896
29.12,0.18,0.0684203,0.00538824,3.8782,4.74399,4.66248
27.76,0.1,0.0924186,0.00666902,3.59583,5.84891,4.78842
29.12,0.23,0.0684203,0.00394589,4.29325,4.74399,4.47267
29.12,0.13,0.0924186,0.00666902,3.59583,5.84891,4.81133
75.94,0.01,0.0751412,0.0244411,4.77642,23.6589,4.71682
67.31,0.01,0.0751412,0.0244411,4.77642,23.6589,4.7986
69.58,0.01,0.0751412,0.0244411,4.77642,23.6589,4.81581
57.36,0.18,0.0771117,0.0132823,4.77642,6.08711,4.55478
54.2,0.01,0.083407,0.00585387,6.64414,7.90704,4.16639
33.51,0.14,0.0771117,0.0160759,4.77642,6.08711,4.85806
29.12,0.19,0.0771117,0.0160759,3.46332,6.19181,5.09231
25.64,0.17,0.0771117,0.00748996,4.22454,5.05073,4.48292
19.97,0.1,0.0990654,0.00232081,5.22296,6.19181,4.63914
27.76,0.07,0.0705596,0.0228586,4.33915,12.5795,5.60593
63.02,0.12,0.0756442,0.0226843,7.6424,11.4171,4.36465
0.81,0.08,0.0756442,0.0226843,7.65115,12.1431,5.72666
63.02,0.09,0.0756442,0.0226843,5.43058,6.38814,4.41687
2.43,0.04,0.0628221,0.0225258,5.05073,9.44515,6.09041
29.12,0.06,0.0583266,0.0231561,2.89992,12.5795,4.79
29.12,0.1,0.0583266,0.0231561,2.89992,6.77157,4.73966
29.12,0.1,0.0583266,0.0231561,2.86555,7.08061,4.7654
118.03,0.08,0.0583266,0.0231561,4.67156,12.5795,5.05029
26.61,0.11,0.0583266,0.0231561,4.67156,11.7041,5.09108
101.1,0.12,0.0583266,0.0179339,3.69069,8.451,4.84907
101.24,0.01,0.0583266,0.0179339,6.21261,8.451,4.98802
