x;y;1
0.768;4.608;-1;
3.456;14.592;-1;
1.152;14.592;-1;
1.920;3.840;0;
11.520;10.977;0;
3.456;3.840;0;
3.456;6.369;-1;
15.360;13.281;-1;
0.384;6.144;-1;
11.520;6.144;-1;
10.752;9.441;-1;
1.920;6.369;0;
5.760;5.601;-1;
12.288;4.065;-1;
5.760;14.592;0;
7.296;3.840;-1;
4.992;13.281;0;
6.144;13.056;-1;
14.592;11.745;-1;
0.768;11.745;-1;
11.904;9.984;0;
1.152;13.281;0;
11.136;13.281;-1;
3.072;2.304;-1;
9.600;0.993;-1;
13.824;1.761;-1;
13.056;0.000;-1;
14.592;7.137;-1;
15.360;15.360;-1;
5.760;0.993;-1;
9.216;14.817;-1;
