x;y;0;1;
9.984;13.056;0;0;
7.680;3.840;0;0;
9.984;4.833;0;0;
8.064;3.072;0;0;
13.824;0.768;-1;-1;
8.832;3.297;0;0;
14.592;9.216;-1;-1;
14.976;3.297;-1;-1;
11.904;1.761;0;0;
13.056;10.209;-1;-1;
5.376;8.448;-1;-1;
9.600;0.000;0;0;
12.672;0.768;0;0;
12.672;12.288;0;0;
11.904;3.840;0;-1;
8.448;6.369;0;0;
10.368;0.000;-1;-1;
11.520;13.056;-1;-1;
7.680;0.768;-1;-1;
9.984;14.592;-1;-1;
7.680;4.608;-1;-1;
13.056;3.297;0;0;
12.288;6.144;-1;-1;
9.984;2.529;-1;0;
8.064;7.905;0;0;
7.680;8.673;-1;-1;
1.920;2.304;-1;-1;
0.000;6.144;-1;-1;
1.536;12.513;-1;-1;
1.536;4.065;-1;-1;
1.920;15.360;-1;-1;
7.680;15.360;-1;-1;
