x;y;0;
12.672;10.752;0;
13.824;9.984;-1;
6.528;9.441;0;
6.528;14.817;-1;
6.144;0.225;-1;
3.840;6.912;0;
2.304;13.056;-1;
9.600;2.304;-1;
6.528;2.529;0;
0.768;7.680;-1;
9.984;3.297;0;
3.456;7.680;0;
8.448;7.680;0;
12.288;8.448;-1;
2.304;4.608;0;
4.992;8.448;0;
5.376;9.216;-1;
4.608;14.817;-1;
2.688;2.529;-1;
0.768;3.840;-1;
8.832;2.529;0;
6.912;11.520;-1;
9.984;7.680;-1;
4.224;6.144;-1;
3.072;11.745;0;
1.152;11.520;-1;
6.528;4.065;-1;
13.824;3.840;-1;
10.368;14.592;-1;
13.824;0.993;-1;
2.304;0.225;-1;
12.288;13.056;-1;
