x;y;1
3.456;4.608;-1;
5.760;3.840;0;
8.064;0.768;0;
3.072;3.297;0;
8.832;11.745;-1;
13.440;5.376;-1;
9.984;1.761;0;
1.152;1.761;-1;
7.680;9.216;0;
12.288;0.225;-1;
11.136;8.448;0;
6.144;9.441;-1;
9.600;9.441;0;
15.360;9.984;-1;
6.912;0.225;-1;
9.984;6.912;-1;
0.768;4.065;-1;
3.840;10.752;-1;
8.448;1.761;-1;
14.976;6.912;-1;
3.840;2.304;-1;
12.288;7.680;0;
11.904;4.065;0;
13.440;10.752;-1;
10.752;4.065;0;
11.520;3.072;-1;
9.216;3.840;0;
13.824;13.056;-1;
3.840;15.360;-1;
0.384;9.984;-1;
1.920;14.817;-1;
7.296;14.049;-1;
