x;y;0;2
1.920;3.072;-1;-1;
7.296;3.072;-1;-1;
5.376;10.977;0;0;
2.304;8.448;-1;-1;
5.760;3.297;0;0;
13.824;6.144;-1;-1;
11.520;12.513;-1;-1;
11.136;4.833;-1;-1;
8.064;4.833;0;0;
11.136;10.977;0;0;
7.680;11.520;-1;-1;
8.448;0.225;-1;-1;
4.224;14.592;-1;-1;
11.520;6.144;0;0;
10.752;2.529;0;0;
12.672;9.216;-1;-1;
13.440;3.297;-1;-1;
3.072;4.608;0;0;
3.840;8.448;0;0;
11.136;7.905;0;0;
4.224;2.529;-1;-1;
2.688;9.984;0;0;
4.992;7.137;-1;-1;
9.216;8.673;-1;-1;
9.216;10.752;0;0;
11.136;0.993;-1;-1;
0.768;11.745;-1;-1;
3.072;13.281;0;0;
5.760;13.056;-1;-1;
0.000;13.281;-1;-1;
10.368;6.912;0;0;
0.000;8.673;-1;-1;
9.216;6.144;0;0;
5.760;4.833;0;0;
14.592;12.288;-1;-1;
